"Hm0","THp","Tm01","Tm02","Tp","U10","wind_dir"
7,181.4,10.8,9.2,11.6,18.8,191.2
8.1,177.5,11.3,9.6,12.5,21.6,194.9
8.7,185.5,11.6,9.8,13,21.1,195.3
9.3,206.8,11.8,10,13.2,23.7,193.8
11,208.5,12.4,10.5,13.6,26.9,190.8
13.6,218.7,13.5,11.6,15,28.8,204.4
15.9,234.3,14.9,12.8,16.8,29,237.2
15.7,242.1,15.5,13.2,17.5,24.6,236.3
14,241.9,15.3,13,17.5,22.8,230.5
12.5,241,14.8,12.4,17.2,21.7,228.6
11.3,240.6,14.1,11.8,16.9,20.9,227.4
10.4,240.7,13.6,11.2,15.7,20.3,228.9
9.7,241.3,13.1,10.8,15.3,19.4,230.2
9,242.1,12.7,10.5,14.8,18.4,231.6
8.2,243,12.4,10.2,14.3,17.4,231.5
7.5,243.7,12,9.8,14.3,16.6,230.2
6.9,244.4,11.5,9.4,13.7,15.8,227.3
6.3,245.2,11.1,9,13.2,15.4,224.9
5.9,246.3,10.7,8.7,12.6,15.2,224.2
5.6,248.2,10.4,8.4,12.7,14.6,225.6
5.2,252.1,10.2,8.2,12.4,13.8,225
4.9,254.9,10.1,8,12.3,13.3,222.2
4.7,256.6,9.9,7.8,12.2,13.3,219.8
4.6,257.5,9.7,7.6,12.2,13.3,217.7
4.6,258,9.6,7.5,12.1,13.6,213.9
4.6,258.1,9.5,7.5,12.1,14.3,212.3
4.8,257.9,9.5,7.5,12,14.9,215.4
4.9,257.6,9.5,7.6,11.8,14.8,221.4
4.8,257.9,9.6,7.6,11.8,13.9,223.9
4.6,258.5,9.6,7.6,11.9,13.1,221.5
4.4,258.8,9.6,7.5,12,12.4,217.4
4.1,258.9,9.4,7.4,11.9,11.8,208.7
3.8,258.7,9.1,7.1,11.7,11.8,194.6
3.7,258.4,8.7,6.8,11.4,12.8,175.4
3.7,258.1,8.2,6.5,11.5,14.1,159.6
3.8,166.6,7.9,6.5,7.8,14.6,137.8
4.5,155.8,7.8,6.6,8.1,20.8,135.9
6,156.9,8.8,7.6,9.5,21,143.9
7.4,164.3,9.8,8.5,10.6,23.7,152.1
8.5,168.2,10.7,9.2,11.6,23.3,156.2
9.3,179.1,11.4,9.8,12.5,23.4,170.1
9.7,194.1,12,10.2,13.2,22.1,189.8
8.8,209.8,12.1,10.2,13.6,19.9,243.5
8.1,219.6,12,10,13.7,17.8,247.8
7.9,255.6,12.6,10.7,13.8,14.2,242.4
7.5,254.7,13.2,11.4,14.9,12,225
6.8,254.5,13.2,11.4,15,11.5,210.7
6.1,255.3,12.8,10.8,14.8,11.1,204.9
5.4,256.4,12.3,10.1,14.1,10.3,201.6
4.7,257.8,11.8,9.6,13.8,9.1,191.9
4.2,261.1,11.4,9.2,13.3,8.6,175.7
3.7,272.9,10.9,8.6,12.8,9.5,156.2
3.5,276.1,10.2,7.4,12.8,11.5,142.3
3.6,237.6,8.8,6.5,12.4,13.7,136.7
3.7,152.5,8.1,6.4,7.3,13.5,135.3
3.7,157.5,7.9,6.4,7.9,14.3,143
4,166,7.8,6.6,8.3,16.8,151.2
4.6,169.9,8.2,7,8.9,18,150
5.2,168.5,8.7,7.4,9.5,18.6,148.2
5.6,167.4,9.1,7.8,10.2,18.1,145
